Date;AMD;BTC-EUR;BTP10.MI;CSSPX.MI;CSSX5E.MI;CVS;CVX;ENEL.MI;HEMA.MI;IBGX.MI;ISP.MI;LDO.MI;NVDA;PPFB.DE;QNTM.MI;SOL-EUR;SWDA.MI;TSLA;XRP-EUR;OBBL2030
2024-11-13;131.20806471624886;85732.5703125;146.5;600.5800170898438;175.25999450683594;48.198064328867595;138.7924982778377;6.0623908042907715;10.878000259399414;154.53684997558594;3.3007442951202393;24.76007652282715;137.7185489933421;47.63800048828125;17.851999282836914;203.65948486328125;103.4800033569336;311.0563464558265;0.6533169746398926;19.99
2024-11-14;131.42593617796774;82875.171875;147.24000549316406;598.8300170898438;178.67999267578125;49.169932621140326;142.19030425995533;6.200671672821045;10.869999885559082;155.0133056640625;3.37154221534729;24.564653396606445;138.86794578546417;47.3380012512207;17.851999282836914;198.72756958007812;103.43000030517578;294.5629713050239;0.7342439889907837;19.99
2024-11-15;128.10912917349452;86355.34375;147.27999877929688;590.5;177.25999450683594;47.62757731418981;142.31493347597578;6.216239929199219;10.857999801635742;154.98435974121094;3.3672256469726562;24.212892532348633;134.77925322148354;47.26599884033203;17.851999282836914;206.81329345703125;102.1500015258789;304.57495866482134;0.8459450006484985;19.99
2024-11-16;128.10912917349452;85882.21875;147.27999877929688;590.5;177.25999450683594;47.62757731418981;142.31493347597578;6.216239929199219;10.857999801635742;154.98435974121094;3.3672256469726562;24.212892532348633;134.77925322148354;47.26599884033203;17.851999282836914;204.70281982421875;102.1500015258789;304.57495866482134;1.0613030195236206;19.99
2024-11-17;128.10912917349452;85271.4375;147.27999877929688;590.5;177.25999450683594;47.62757731418981;142.31493347597578;6.216239929199219;10.857999801635742;154.98435974121094;3.3672256469726562;24.212892532348633;134.77925322148354;47.26599884033203;17.851999282836914;225.4796142578125;102.1500015258789;304.57495866482134;1.0006550550460815;19.99
2024-11-18;131.89040447261797;85461.03125;147.05999755859375;591.8200073242188;177.3800048828125;50.17104762534197;143.12907710947488;6.13473653793335;10.930000305175781;154.77232360839844;3.3906970024108887;24.31060218811035;132.9958315348901;48.01599884033203;17.851999282836914;226.33604431152344;102.37999725341797;321.5760215817715;1.0551929473876953;19.99
2024-11-19;131.5632438271084;87057.5703125;147.2899932861328;591.1300048828125;175.8800048828125;49.632251495052124;141.27604394862536;6.08345365524292;10.942000389099121;154.82049560546875;3.3532330989837646;24.642820358276367;138.70037456470496;48.236000061035156;17.851999282836914;224.4676513671875;102.2699966430664;326.57208238398226;1.0388660430908203;19.99
2024-11-20;129.7182745968529;89452.8046875;147.07000732421875;591.7000122070312;175.10000610351562;50.51504494733434;142.63646989768722;6.011107921600342;10.932000160217285;155.00364685058594;3.3369836807250977;24.53533935546875;137.478898616961;49.0;17.851999282836914;223.22894287109375;102.37000274658203;322.43851260178485;1.0452029705047607;19.99
2024-11-21;130.3693964235361;94091.0234375;147.3000030517578;600.0800170898438;176.1199951171875;51.05061670439978;143.73389649096174;6.025760173797607;10.97599983215332;155.13858032226562;3.3108043670654297;25.01412582397461;139.01883204324102;49.428001403808594;17.851999282836914;245.5475311279297;103.72000122070312;322.05005412701996;1.1943269968032837;19.99
2024-11-22;132.14776596616838;95022.90625;147.99000549316406;606.8800048828125;177.3800048828125;52.244892010311624;145.44284061614698;6.156715393066406;11.050000190734863;155.5819854736328;3.280111074447632;24.92618751525879;135.53263192413849;50.529998779296875;17.851999282836914;246.2194366455078;104.88999938964844;336.75470900627624;1.4100379943847656;19.99
